adm_cd,adm_nm,sgis_adm_cd,sgis_adm_nm
1171064100,문정1동,11240680,문정1동
1171064200,문정2동,11240690,문정2동
1171064600,장지동,11240810,장지동
1171064700,위례동,11240820,위례동
1171065000,잠실본동,11240710,잠실본동
1171067000,잠실2동,11240790,잠실2동
1171068000,잠실3동,11240800,잠실3동
1171069000,잠실4동,11240750,잠실4동
1171071000,잠실6동,11240770,잠실6동
1171072000,잠실7동,11240780,잠실7동
1174051500,강일동,11250750,강일동
1174052500,상일제1동,11250760,상일1동
1174052600,상일제2동,11250770,상일2동
1174053000,명일제1동,11250530,명일1동
1174054000,명일제2동,11250540,명일2동
1174055000,고덕제1동,11250550,고덕1동
1174056000,고덕제2동,11250560,고덕2동
1174057000,암사제1동,11250720,암사1동
1174058000,암사제2동,11250580,암사2동
1174059000,암사제3동,11250590,암사3동
1174060000,천호제1동,11250610,천호1동
1174061000,천호제2동,11250730,천호2동
1174062000,천호제3동,11250630,천호3동
1174064000,성내제1동,11250650,성내1동
1174065000,성내제2동,11250660,성내2동
1174066000,성내제3동,11250670,성내3동
1174068500,길동,11250740,길동
1174069000,둔촌제1동,11250700,둔촌1동
1174070000,둔촌제2동,11250710,둔촌2동
1211051000,용당1동,36010510,용당1동
1211052000,용당2동,36010520,용당2동
1211053500,연동,36010530,연동
1211054500,산정동,36010550,산정동
1211055400,연산동,36010560,연산동
1211055800,원산동,36010570,원산동
1211056500,대성동,36010580,대성동
1211059500,목원동,36010600,목원동
1211064000,동명동,36010620,동명동
1211064500,삼학동,36010630,삼학동
1211065500,만호동,36010640,만호동
1211066000,유달동,36010650,유달동
1211069500,죽교동,36010670,죽교동
1211070500,북항동,36010680,북항동
1211074500,용해동,36010690,용해동
1211075000,이로동,36010700,이로동
1211075600,상동,36010710,상동
1211075700,하당동,36010720,하당동
1211075800,신흥동,36010730,신흥동
1211078000,삼향동,36010740,삼향동
1211079000,옥암동,36010750,옥암동
1211080000,부흥동,36010760,부흥동
1211081000,부주동,36010770,부주동
1213025000,돌산읍,36020110,돌산읍
1213031000,소라면,36020310,소라면
1213032000,율촌면,36020320,율촌면
1213033000,화양면,36020330,화양면
1213034000,남면,36020340,남면
1213035000,화정면,36020350,화정면
1213036000,삼산면,36020360,삼산면
1213051500,동문동,36020510,동문동
1213053500,한려동,36020520,한려동
1213057000,중앙동,36020530,중앙동
1213060000,충무동,36020540,충무동
1213062500,광림동,36020550,광림동
1213063500,서강동,36020560,서강동
1213065500,대교동,36020570,대교동
1213067000,국동,36020580,국동
1213068500,월호동,36020590,월호동
1213070000,여서동,36020600,여서동
1213071000,문수동,36020610,문수동
1213073000,미평동,36020620,미평동
1213074000,둔덕동,36020630,둔덕동
